category,name,price,image_url
М'ясо,Свиняча лопатка без кістки охолоджена,18.50 грн/100г,https://images.silpo.ua/products/300x300/webp/fc835bd0-62eb-4b4a-b113-661d6b8dee45.png
М'ясо,Куряча четвертина,8.25 грн/100г,https://images.silpo.ua/products/300x300/webp/49122c03-b991-43a4-8dbd-17e1e7ae9250.png
М'ясо,Фарш асорті охолоджений,14.40 грн/100г,https://images.silpo.ua/products/300x300/webp/e7718fad-8a28-48d2-9504-650cdd49f3a9.png
М'ясо,Фарш курчати-бройлера Епікур Філейний охолоджений лоток,"94.99 грн/0,5кг",https://images.silpo.ua/products/300x300/webp/7cc32d9b-41c3-4a48-98a5-67bf53f4318a.png
М'ясо,Ковбаски «Фірмові» курячі фасовані,22.40 грн/100г,https://images.silpo.ua/products/300x300/webp/e8a6b00b-33b9-420d-b863-e82913e788c6.png
М'ясо,Перепілка домашня,33.90 грн/100г,https://images.silpo.ua/products/300x300/webp/7d3da999-3cb5-4585-8c8e-32d24b27886f.png
М'ясо,Свинячі ребра охолоджені,18.49 грн/100г,https://images.silpo.ua/products/300x300/webp/fe0b73ee-4a1c-4b29-b9af-6e4426d7aa52.png
М'ясо,Фарш свинячий,15.90 грн/100г,https://images.silpo.ua/products/300x300/webp/26269d2c-b44f-4123-ab23-dbe4c3d88df6.png
М'ясо,Філе індика охолоджене «Сяйвір» в/у,34.90 грн/100г,https://images.silpo.ua/products/300x300/webp/7d6287e5-e2a3-49c9-ad24-3ceb823f168c.png
М'ясо,Свиняча вирізка охолоджена,28.90 грн/100г,https://images.silpo.ua/products/300x300/webp/a3a5358c-e515-48a6-b901-7d26da88b1af.png
М'ясо,"Свиняча лопатка 700-900 охолоджена, напівфабрикат фасований",15.90 грн/100г,https://images.silpo.ua/products/300x300/webp/dd068511-f03c-433f-bedb-5bbdfa600dbf.png
М'ясо,М'ясо гомілки курчат-бройлер Епікур охолоджене малий лоток,16.90 грн/100г,https://images.silpo.ua/products/300x300/webp/c49fa9d8-29e5-4687-8025-53c28582f096.png
М'ясо,Ковбаски #ЦеМ'ясо Баварські свинячі гриль г/у,109.00 грн/500г,https://images.silpo.ua/products/300x300/webp/c8303118-797f-424d-863c-66bdd9e2682d.png
М'ясо,Печінка курчати-бройлера Епікур охолоджена,"84.14 грн/0,5кг",https://images.silpo.ua/products/300x300/webp/9b591b9f-44cf-4a03-81bb-ebdc997a2df2.png
М'ясо,Індиче стегно охолоджене,22.90 грн/100г,https://images.silpo.ua/products/300x300/webp/3a571866-49b1-4f8c-baef-3159fe373d84.png
М'ясо,Свиняче сало «Генеральське»,46.90 грн/100г,https://images.silpo.ua/products/300x300/webp/c9d82505-c7d0-445d-a26c-d06e5b971f89.png
М'ясо,Свинячий окіст фасований 700-900 г охолоджений,20.50 грн/100г,https://images.silpo.ua/products/300x300/webp/d2919ecd-fc47-4336-9e1e-cdcc105e0685.png
М'ясо,Серце куряче охолоджене,11.90 грн/100г,https://images.silpo.ua/products/300x300/webp/b191652b-a235-46e3-9a97-9ae0dd7c21fa.png
М'ясо,Свинячий окіст без кістки,18.50 грн/100г,https://images.silpo.ua/products/300x300/webp/026b9a57-bb87-4982-8e8b-6ef36d0848eb.png
М'ясо,Телячий гуляш охолоджений,27.99 грн/100г,https://images.silpo.ua/products/300x300/webp/a74c9275-ba2f-4c97-9072-9298d32a3e9d.png
М'ясо,Телячий биток охолоджений,37.20 грн/100г,https://images.silpo.ua/products/300x300/webp/a705ea97-81e2-470a-a11e-bd7439e079f5.png
М'ясо,Індиче стегно,22.90 грн/100г,https://images.silpo.ua/products/300x300/webp/96c5b5e0-11ee-4627-9dd7-adefea6bd640.png
